ente,regiao,cnpj,rank,URL Prefeitura
Jaíba,SE,25209149000106,925,
Goiatuba,CO,01753722000180,926,
Machado,SE,18242784000120,927,
Matozinhos,SE,18771238000186,928,
Mandaguari,SU,76285345000109,929,
São Desidério,NE,13655436000160,930,
Ouro Preto do Oeste,NO,04380507000179,931,
Ipueiras,NE,07680846000169,932,
Missão Velha,NE,07977044000115,933,
Rosário,NE,41479569000169,934,
Sarzedo,SE,01612509000158,935,
Dom Pedrito,SU,87482535000124,936,
São João da Barra,SE,29116902000170,937,
José Bonifácio,SE,45141132000171,938,
Portão,SU,87344016000108,939,
Assis Chateaubriand,SU,76208479000118,940,
Palmeira,SU,76179829000165,941,
Rosário do Sul,SU,88138292000174,942,
Amarante do Maranhão,NE,06157846000116,943,
Amargosa,NE,13825484000150,944,
Guarantã do Norte,CO,03239019000183,945,
Jacundá,NO,05854633000180,946,
Apodi,NE,08349011000193,947,
Boca do Acre,NO,15811318000120,948,
Domingos Martins,SE,27150556000110,949,
Custódia,NE,11358165000156,950,
Girau do Ponciano,NE,12207536000161,951,
Bom Jesus do Itabapoana,SE,28812972000108,952,
Igarapé-Açu,NO,05149117000155,953,
Prainha,NO,04860854000107,954,
Niquelândia,CO,02215895000107,955,
Jaguariaíva,SU,76910900000138,956,
Confresa,CO,37464716000150,957,
Pilar,NE,12200150000128,958,
Itaqui,SU,88120662000146,959,
Rio Real,NE,15088800000183,960,
Pilão Arcado,NE,13692033000191,961,
Iporá,CO,01157536000188,962,
Bagre,NO,04876538000115,963,
Aliança,NE,10164028000118,964,
Santa Rita,NE,63441836000141,965,
Garibaldi,SU,88594999000195,966,
Rondon do Pará,NO,04780953000170,967,
Promissão,SE,44558856000152,968,
Palotina,SU,76208487000164,969,
Presidente Venceslau,SE,46476131000140,970,
Laranjal do Jari,NO,23066905000160,971,
Feijó,NO,04005179000120,972,
Conceição do Jacuípe,NE,14222574000119,973,
Charqueadas,SU,88743604000179,974,
Itambé,NE,10150050000109,975,
São José do Belmonte,NE,10280055000156,976,
Piumhi,SE,16781346000104,977,
Tucumã,NO,22981088000102,978,
Araçuaí,SE,17963083000117,979,
Santa Fé do Sul,SE,45138070000149,980,
Pomerode,SU,83102251000104,981,
São Luiz Gonzaga,SU,87613022000105,982,
São Joaquim de Bicas,SE,01612516000150,983,
Nanuque,SE,18398974000130,984,
Mãe do Rio,NO,05363023000184,985,
Peixoto de Azevedo,CO,03238631000131,986,
Bodocó,NE,11040862000164,987,
Posse,CO,01743335000162,988,
Rio Pardo,SU,88821079000162,989,
Barra Bonita,SE,46172888000140,990,
Itaporanga d'Ajuda,NE,13128889000139,991,
Tuntum,NE,06138911000166,992,
Adamantina,SE,43008291000177,993,
Padre Bernardo,CO,01170331000132,994,
Petrolândia,NE,10106235000116,995,
Serra do Ramalho,NE,16417784000198,996,
Nova Cruz,NE,08144784000133,997,
São Gabriel da Palha,SE,27174143000176,998,
Brejo,NE,06116743000108,999,
Braço do Norte,SU,82926551000145,1000,
